,title,description,date,link
107,"20 augusti 11:02, Skadegörelse, Hallstahammar",En anmälan om skadegörelse på el- och vattenledningar på en industri byggnad i Sörstafors inkom till polisen.,"Thu, 20 Aug 2020 12:34:01 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1102-skadegorelse-hallstahammar/
108,"20 augusti 12:22, Trafikkontroll, Sollefteå",Resultat från trafikkontroller i Sollefteå kommun under förmiddagen.,"Thu, 20 Aug 2020 12:32:17 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1222-trafikkontroll-solleftea/
109,"20 augusti 11:35, Sjukdom/olycksfall, Hofors",En ung man uppträdde mycket oroligt i centrala Hofors.,"Thu, 20 Aug 2020 12:23:00 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1135-sjukdomolycksfall-hofors/
110,"20 augusti 11:30, Trafikkontroll, Skellefteå",Resultat från trafikkontroller i Skellefteå kommun under förmiddagen.,"Thu, 20 Aug 2020 12:22:14 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1130-trafikkontroll-skelleftea/
111,"Uppdaterad 20 augusti 12:16: 20 augusti 07:32, Kontroll person/fordon, Stockholm",Polis och ambulans har kallats till Spånga med anledning av att en anmälare påträffats en livlös person utomhus.,"Thu, 20 Aug 2020 12:16:22 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0732-kontroll-personfordon-stockholm/
112,"20 augusti 09:44, Rån övrigt, Uppsala",En man anmäler att han blivit utsatt för ett rån i sitt hem i av minst två okända män.,"Thu, 20 Aug 2020 12:15:36 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0944-ran-ovrigt-uppsala/
113,"20 augusti 07:37, Stöld/inbrott, Uppsala",Två byggföretag på en byggarbetsplats i Kåbo vid Torgny Segerstedts Allé  har haft inbrott i containrar under natten.,"Thu, 20 Aug 2020 11:41:45 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0737-stoldinbrott-uppsala/
114,"20 augusti 05:20, Trafikolycka, smitning från, Tierp",Flera bilister ringde 112 och meddelade att ett fordon fördes i fel körfält på    lv 740 mellan Skärplinge och Tierp.,"Thu, 20 Aug 2020 11:36:19 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0520-trafikolycka-smitning-fran-tierp/
115,"20 augusti 11:16, Trafikkontroll, Norrbottens län",Resultat från trafikkontroller i Norrbotten på förmiddagen.,"Thu, 20 Aug 2020 11:30:41 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-1116-trafikkontroll-norrbottens-lan/
116,"20 augusti 06:52, Motorfordon, stöld, Östhammar",En man i 30-års åldern greps misstänkt för tillgrepp av fortskaffningsmedel.,"Thu, 20 Aug 2020 11:26:38 +0200",https://polisen.se/aktuellt/handelser/2020/augusti/20/20-augusti-0652-motorfordon-stold-osthammar/
